sku,meta:_sku,post_title,post_status,post_type,Type: product_type,tax:product_type,tax:product_cat,tax:product_tag,regular_price,sale_price,meta:_price,manage_stock,stock_status,images,attribute:pa_style,attribute_default:pa_style,attribute_data:pa_style,attribute:pa_sex,attribute_default:pa_sex,attribute_data:pa_sex,attribute:pa_color,attribute_default:pa_color,attribute_data:pa_color,attribute:pa_size,attribute_default:pa_size,attribute_data:pa_size,attribute:pa_material,attribute_data:pa_material,attribute:pa_print,attribute_data:pa_print,attribute:pa_wash,attribute_data:pa_wash,attribute:pa_default_style,attribute_data:pa_default_style,meta:_wc_average_rating,meta:_wc_rating_count,meta:_wc_review_count,meta:_stock_status,post_content,post_excerpt
ART-0595-TS,ART-0595-TS,تیم فینیکس (Phoenix Suns),publish,product,product,variable,ورزش و بازی>بسکتبال,#NBA,120000,,120000,no,instock,ART-0595-TS-color3.jpg|ART-0595-TS-color3-men.jpg|ART-0595-TS-color3-women.jpg|ART-0595-TS-color1.jpg|ART-0595-TS-color1-men.jpg|ART-0595-TS-color1-women.jpg|ART-0595-TS-color2.jpg|ART-0595-TS-color2-men.jpg|ART-0595-TS-color2-women.jpg|ART-0595-TS-color4.jpg|ART-0595-TS-color4-men.jpg|ART-0595-TS-color4-women.jpg|ART-0595-TS-color5.jpg|ART-0595-TS-color5-men.jpg|ART-0595-TS-color5-women.jpg|ART-0595-TS-color6.jpg|ART-0595-TS-color6-men.jpg|ART-0595-TS-color6-women.jpg|ART-0595-TS-color7.jpg|ART-0595-TS-color7-men.jpg|ART-0595-TS-color7-women.jpg|ART-0595-HD-color8.jpg|ART-0595-HD-color2.jpg|ART-0595-HD-color5.jpg|ART-0595-HD-color9.jpg|ART-0595-HD-color10.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی|ملانژ|نارنجی|سرمه‌ای,خاکستری,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.2,6,6,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0596-TS,ART-0596-TS,شکیل اونیل (Shaquille O'neal),publish,product,product,variable,ورزش و بازی>بسکتبال,#NBA,120000,,120000,no,instock,ART-0596-TS-color3.jpg|ART-0596-TS-color3-men.jpg|ART-0596-TS-color3-women.jpg|ART-0596-TS-color1.jpg|ART-0596-TS-color1-men.jpg|ART-0596-TS-color1-women.jpg|ART-0596-TS-color2.jpg|ART-0596-TS-color2-men.jpg|ART-0596-TS-color2-women.jpg|ART-0596-TS-color4.jpg|ART-0596-TS-color4-men.jpg|ART-0596-TS-color4-women.jpg|ART-0596-TS-color5.jpg|ART-0596-TS-color5-men.jpg|ART-0596-TS-color5-women.jpg|ART-0596-TS-color6.jpg|ART-0596-TS-color6-men.jpg|ART-0596-TS-color6-women.jpg|ART-0596-TS-color7.jpg|ART-0596-TS-color7-men.jpg|ART-0596-TS-color7-women.jpg|ART-0596-HD-color8.jpg|ART-0596-HD-color2.jpg|ART-0596-HD-color5.jpg|ART-0596-HD-color9.jpg|ART-0596-HD-color10.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی|ملانژ|نارنجی|سرمه‌ای,خاکستری,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.8,6,6,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0597-TS,ART-0597-TS,کوبی بریانت (Kobe Bryant),publish,product,product,variable,ورزش و بازی>بسکتبال,#NBA,120000,,120000,no,instock,ART-0597-TS-color7.jpg|ART-0597-TS-color7-men.jpg|ART-0597-TS-color7-women.jpg|ART-0597-TS-color1.jpg|ART-0597-TS-color1-men.jpg|ART-0597-TS-color1-women.jpg|ART-0597-TS-color2.jpg|ART-0597-TS-color2-men.jpg|ART-0597-TS-color2-women.jpg|ART-0597-TS-color3.jpg|ART-0597-TS-color3-men.jpg|ART-0597-TS-color3-women.jpg|ART-0597-TS-color4.jpg|ART-0597-TS-color4-men.jpg|ART-0597-TS-color4-women.jpg|ART-0597-TS-color5.jpg|ART-0597-TS-color5-men.jpg|ART-0597-TS-color5-women.jpg|ART-0597-TS-color6.jpg|ART-0597-TS-color6-men.jpg|ART-0597-TS-color6-women.jpg|ART-0597-HD-color8.jpg|ART-0597-HD-color2.jpg|ART-0597-HD-color5.jpg|ART-0597-HD-color9.jpg|ART-0597-HD-color10.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی|ملانژ|نارنجی|سرمه‌ای,سبز خاکی,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.6,3,3,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0598-TS,ART-0598-TS,لبران جیمز (LeBron James),publish,product,product,variable,ورزش و بازی>بسکتبال,#NBA,120000,,120000,no,instock,ART-0598-TS-color4.jpg|ART-0598-TS-color4-men.jpg|ART-0598-TS-color4-women.jpg|ART-0598-TS-color1.jpg|ART-0598-TS-color1-men.jpg|ART-0598-TS-color1-women.jpg|ART-0598-TS-color2.jpg|ART-0598-TS-color2-men.jpg|ART-0598-TS-color2-women.jpg|ART-0598-TS-color3.jpg|ART-0598-TS-color3-men.jpg|ART-0598-TS-color3-women.jpg|ART-0598-TS-color5.jpg|ART-0598-TS-color5-men.jpg|ART-0598-TS-color5-women.jpg|ART-0598-TS-color6.jpg|ART-0598-TS-color6-men.jpg|ART-0598-TS-color6-women.jpg|ART-0598-TS-color7.jpg|ART-0598-TS-color7-men.jpg|ART-0598-TS-color7-women.jpg|ART-0598-HD-color8.jpg|ART-0598-HD-color2.jpg|ART-0598-HD-color5.jpg|ART-0598-HD-color9.jpg|ART-0598-HD-color10.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی|ملانژ|نارنجی|سرمه‌ای,آبی,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,5.0,2,2,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0599-TS,ART-0599-TS,کینگ جیمز (King James),publish,product,product,variable,ورزش و بازی>بسکتبال,#NBA,120000,,120000,no,instock,ART-0599-TS-color4.jpg|ART-0599-TS-color4-men.jpg|ART-0599-TS-color4-women.jpg|ART-0599-TS-color1.jpg|ART-0599-TS-color1-men.jpg|ART-0599-TS-color1-women.jpg|ART-0599-TS-color2.jpg|ART-0599-TS-color2-men.jpg|ART-0599-TS-color2-women.jpg|ART-0599-TS-color3.jpg|ART-0599-TS-color3-men.jpg|ART-0599-TS-color3-women.jpg|ART-0599-TS-color5.jpg|ART-0599-TS-color5-men.jpg|ART-0599-TS-color5-women.jpg|ART-0599-TS-color6.jpg|ART-0599-TS-color6-men.jpg|ART-0599-TS-color6-women.jpg|ART-0599-TS-color7.jpg|ART-0599-TS-color7-men.jpg|ART-0599-TS-color7-women.jpg|ART-0599-HD-color8.jpg|ART-0599-HD-color2.jpg|ART-0599-HD-color5.jpg|ART-0599-HD-color9.jpg|ART-0599-HD-color10.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی|ملانژ|نارنجی|سرمه‌ای,آبی,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.9,9,9,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0600-TS,ART-0600-TS,تیم پورتلند (Portland Trail Blazers),publish,product,product,variable,ورزش و بازی>بسکتبال,#NBA,120000,,120000,no,instock,ART-0600-TS-color5.jpg|ART-0600-TS-color5-men.jpg|ART-0600-TS-color5-women.jpg|ART-0600-TS-color1.jpg|ART-0600-TS-color1-men.jpg|ART-0600-TS-color1-women.jpg|ART-0600-TS-color2.jpg|ART-0600-TS-color2-men.jpg|ART-0600-TS-color2-women.jpg|ART-0600-TS-color3.jpg|ART-0600-TS-color3-men.jpg|ART-0600-TS-color3-women.jpg|ART-0600-TS-color4.jpg|ART-0600-TS-color4-men.jpg|ART-0600-TS-color4-women.jpg|ART-0600-TS-color6.jpg|ART-0600-TS-color6-men.jpg|ART-0600-TS-color6-women.jpg|ART-0600-TS-color7.jpg|ART-0600-TS-color7-men.jpg|ART-0600-TS-color7-women.jpg|ART-0600-HD-color8.jpg|ART-0600-HD-color2.jpg|ART-0600-HD-color5.jpg|ART-0600-HD-color9.jpg|ART-0600-HD-color10.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی|ملانژ|نارنجی|سرمه‌ای,زرشکی,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.7,4,4,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0601-TS,ART-0601-TS,تیم ساکرامنتو ۱ (Sacramento Kings),publish,product,product,variable,ورزش و بازی>بسکتبال,#NBA,120000,,120000,no,instock,ART-0601-TS-color1.jpg|ART-0601-TS-color1-men.jpg|ART-0601-TS-color1-women.jpg|ART-0601-TS-color2.jpg|ART-0601-TS-color2-men.jpg|ART-0601-TS-color2-women.jpg|ART-0601-TS-color3.jpg|ART-0601-TS-color3-men.jpg|ART-0601-TS-color3-women.jpg|ART-0601-TS-color4.jpg|ART-0601-TS-color4-men.jpg|ART-0601-TS-color4-women.jpg|ART-0601-TS-color5.jpg|ART-0601-TS-color5-men.jpg|ART-0601-TS-color5-women.jpg|ART-0601-TS-color6.jpg|ART-0601-TS-color6-men.jpg|ART-0601-TS-color6-women.jpg|ART-0601-TS-color7.jpg|ART-0601-TS-color7-men.jpg|ART-0601-TS-color7-women.jpg|ART-0601-HD-color8.jpg|ART-0601-HD-color2.jpg|ART-0601-HD-color5.jpg|ART-0601-HD-color9.jpg|ART-0601-HD-color10.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی|ملانژ|نارنجی|سرمه‌ای,سفید,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.6,7,7,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0602-TS,ART-0602-TS,تیم ساکرامنتو ۲ (Sacramento Kings),publish,product,product,variable,ورزش و بازی>بسکتبال,#NBA,120000,,120000,no,instock,ART-0602-TS-color3.jpg|ART-0602-TS-color3-men.jpg|ART-0602-TS-color3-women.jpg|ART-0602-TS-color1.jpg|ART-0602-TS-color1-men.jpg|ART-0602-TS-color1-women.jpg|ART-0602-TS-color2.jpg|ART-0602-TS-color2-men.jpg|ART-0602-TS-color2-women.jpg|ART-0602-TS-color4.jpg|ART-0602-TS-color4-men.jpg|ART-0602-TS-color4-women.jpg|ART-0602-TS-color5.jpg|ART-0602-TS-color5-men.jpg|ART-0602-TS-color5-women.jpg|ART-0602-TS-color6.jpg|ART-0602-TS-color6-men.jpg|ART-0602-TS-color6-women.jpg|ART-0602-TS-color7.jpg|ART-0602-TS-color7-men.jpg|ART-0602-TS-color7-women.jpg|ART-0602-HD-color8.jpg|ART-0602-HD-color2.jpg|ART-0602-HD-color5.jpg|ART-0602-HD-color9.jpg|ART-0602-HD-color10.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی|ملانژ|نارنجی|سرمه‌ای,خاکستری,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.3,2,2,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0603-TS,ART-0603-TS,تیم سن آنتونیو (San Antonio Spurs),publish,product,product,variable,ورزش و بازی>بسکتبال,#NBA,120000,,120000,no,instock,ART-0603-TS-color5.jpg|ART-0603-TS-color5-men.jpg|ART-0603-TS-color5-women.jpg|ART-0603-TS-color1.jpg|ART-0603-TS-color1-men.jpg|ART-0603-TS-color1-women.jpg|ART-0603-TS-color2.jpg|ART-0603-TS-color2-men.jpg|ART-0603-TS-color2-women.jpg|ART-0603-TS-color3.jpg|ART-0603-TS-color3-men.jpg|ART-0603-TS-color3-women.jpg|ART-0603-TS-color4.jpg|ART-0603-TS-color4-men.jpg|ART-0603-TS-color4-women.jpg|ART-0603-TS-color6.jpg|ART-0603-TS-color6-men.jpg|ART-0603-TS-color6-women.jpg|ART-0603-TS-color7.jpg|ART-0603-TS-color7-men.jpg|ART-0603-TS-color7-women.jpg|ART-0603-HD-color8.jpg|ART-0603-HD-color2.jpg|ART-0603-HD-color5.jpg|ART-0603-HD-color9.jpg|ART-0603-HD-color10.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی|ملانژ|نارنجی|سرمه‌ای,زرشکی,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.7,9,9,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0604-TS,ART-0604-TS,تیم تورنتو (Toronto Raptors),publish,product,product,variable,ورزش و بازی>بسکتبال,#NBA,120000,,120000,no,instock,ART-0604-TS-color3.jpg|ART-0604-TS-color3-men.jpg|ART-0604-TS-color3-women.jpg|ART-0604-TS-color1.jpg|ART-0604-TS-color1-men.jpg|ART-0604-TS-color1-women.jpg|ART-0604-TS-color2.jpg|ART-0604-TS-color2-men.jpg|ART-0604-TS-color2-women.jpg|ART-0604-TS-color4.jpg|ART-0604-TS-color4-men.jpg|ART-0604-TS-color4-women.jpg|ART-0604-TS-color5.jpg|ART-0604-TS-color5-men.jpg|ART-0604-TS-color5-women.jpg|ART-0604-TS-color6.jpg|ART-0604-TS-color6-men.jpg|ART-0604-TS-color6-women.jpg|ART-0604-TS-color7.jpg|ART-0604-TS-color7-men.jpg|ART-0604-TS-color7-women.jpg|ART-0604-HD-color8.jpg|ART-0604-HD-color2.jpg|ART-0604-HD-color5.jpg|ART-0604-HD-color9.jpg|ART-0604-HD-color10.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی|ملانژ|نارنجی|سرمه‌ای,خاکستری,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.6,7,7,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0605-TS,ART-0605-TS,تیم یوتا ۱ (Utah Jazz),publish,product,product,variable,ورزش و بازی>بسکتبال,#NBA,120000,,120000,no,instock,ART-0605-TS-color5.jpg|ART-0605-TS-color5-men.jpg|ART-0605-TS-color5-women.jpg|ART-0605-TS-color1.jpg|ART-0605-TS-color1-men.jpg|ART-0605-TS-color1-women.jpg|ART-0605-TS-color2.jpg|ART-0605-TS-color2-men.jpg|ART-0605-TS-color2-women.jpg|ART-0605-TS-color3.jpg|ART-0605-TS-color3-men.jpg|ART-0605-TS-color3-women.jpg|ART-0605-TS-color4.jpg|ART-0605-TS-color4-men.jpg|ART-0605-TS-color4-women.jpg|ART-0605-TS-color6.jpg|ART-0605-TS-color6-men.jpg|ART-0605-TS-color6-women.jpg|ART-0605-TS-color7.jpg|ART-0605-TS-color7-men.jpg|ART-0605-TS-color7-women.jpg|ART-0605-HD-color8.jpg|ART-0605-HD-color2.jpg|ART-0605-HD-color5.jpg|ART-0605-HD-color9.jpg|ART-0605-HD-color10.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی|ملانژ|نارنجی|سرمه‌ای,زرشکی,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.6,10,10,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0606-TS,ART-0606-TS,تیم واشنگتن (Washington Wizards),publish,product,product,variable,ورزش و بازی>بسکتبال,#NBA,120000,,120000,no,instock,ART-0606-TS-color3.jpg|ART-0606-TS-color3-men.jpg|ART-0606-TS-color3-women.jpg|ART-0606-TS-color1.jpg|ART-0606-TS-color1-men.jpg|ART-0606-TS-color1-women.jpg|ART-0606-TS-color2.jpg|ART-0606-TS-color2-men.jpg|ART-0606-TS-color2-women.jpg|ART-0606-TS-color4.jpg|ART-0606-TS-color4-men.jpg|ART-0606-TS-color4-women.jpg|ART-0606-TS-color5.jpg|ART-0606-TS-color5-men.jpg|ART-0606-TS-color5-women.jpg|ART-0606-TS-color6.jpg|ART-0606-TS-color6-men.jpg|ART-0606-TS-color6-women.jpg|ART-0606-TS-color7.jpg|ART-0606-TS-color7-men.jpg|ART-0606-TS-color7-women.jpg|ART-0606-HD-color8.jpg|ART-0606-HD-color2.jpg|ART-0606-HD-color5.jpg|ART-0606-HD-color9.jpg|ART-0606-HD-color10.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی|ملانژ|نارنجی|سرمه‌ای,خاکستری,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,5.0,7,7,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0607-TS,ART-0607-TS,نبض یک بسکتبالیست,publish,product,product,variable,ورزش و بازی>بسکتبال,,120000,,120000,no,instock,ART-0607-TS-color6.jpg|ART-0607-TS-color6-men.jpg|ART-0607-TS-color6-women.jpg|ART-0607-TS-color1.jpg|ART-0607-TS-color1-men.jpg|ART-0607-TS-color1-women.jpg|ART-0607-TS-color2.jpg|ART-0607-TS-color2-men.jpg|ART-0607-TS-color2-women.jpg|ART-0607-TS-color3.jpg|ART-0607-TS-color3-men.jpg|ART-0607-TS-color3-women.jpg|ART-0607-TS-color4.jpg|ART-0607-TS-color4-men.jpg|ART-0607-TS-color4-women.jpg|ART-0607-TS-color5.jpg|ART-0607-TS-color5-men.jpg|ART-0607-TS-color5-women.jpg|ART-0607-TS-color7.jpg|ART-0607-TS-color7-men.jpg|ART-0607-TS-color7-women.jpg|ART-0607-HD-color8.jpg|ART-0607-HD-color2.jpg|ART-0607-HD-color5.jpg|ART-0607-HD-color9.jpg|ART-0607-HD-color10.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی|ملانژ|نارنجی|سرمه‌ای,زرد,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.0,4,4,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
